Song,Artist,Spotify_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Paint The Town Red,Doja Cat,2IGMVunIBsBLtEQyoI1Mu7,0.868,0.538,5,-8.603,1,0.174,0.269,3.34e-06,0.0901,0.732,99.968,audio_features,2IGMVunIBsBLtEQyoI1Mu7,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/tracks/2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/audio-analysis/2IGMVunIBsBLtEQyoI1Mu7,231750,4
Snooze,SZA,4iZ4pt7kvcaH6Yo8UoZ4s2,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,audio_features,4iZ4pt7kvcaH6Yo8UoZ4s2,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/tracks/4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/audio-analysis/4iZ4pt7kvcaH6Yo8UoZ4s2,201800,4
Fast Car,Luke Combs,1Lo0QY9cvc8sUB2vnIOxDT,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,audio_features,1Lo0QY9cvc8sUB2vnIOxDT,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/tracks/1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/audio-analysis/1Lo0QY9cvc8sUB2vnIOxDT,265493,4
Cruel Summer,Taylor Swift,2EGaDf0cPX789H3LNeB03D,0.666,0.871,1,-6.017,0,0.0272,0.27,0.0208,0.263,0.936,108.501,audio_features,2EGaDf0cPX789H3LNeB03D,spotify:track:2EGaDf0cPX789H3LNeB03D,https://api.spotify.com/v1/tracks/2EGaDf0cPX789H3LNeB03D,https://api.spotify.com/v1/audio-analysis/2EGaDf0cPX789H3LNeB03D,215326,4
I Remember Everything,Zach Bryan Featuring Kacey Musgraves,4KULAymBBJcPRpk1yO4dOG,0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,audio_features,4KULAymBBJcPRpk1yO4dOG,spotify:track:4KULAymBBJcPRpk1yO4dOG,https://api.spotify.com/v1/tracks/4KULAymBBJcPRpk1yO4dOG,https://api.spotify.com/v1/audio-analysis/4KULAymBBJcPRpk1yO4dOG,227196,4
Last Night,Morgan Wallen,59uQI0PADDKeE6UZDTJEe8,0.517,0.675,6,-5.382,1,0.0357,0.459,0.0,0.151,0.518,203.853,audio_features,59uQI0PADDKeE6UZDTJEe8,spotify:track:59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/tracks/59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/audio-analysis/59uQI0PADDKeE6UZDTJEe8,163855,4
Vampire,Olivia Rodrigo,4sSKTQcX6pQIncWcNJdkiD,0.675,0.609,1,-7.905,1,0.094,0.284,0.268,0.112,0.057,119.973,audio_features,4sSKTQcX6pQIncWcNJdkiD,spotify:track:4sSKTQcX6pQIncWcNJdkiD,https://api.spotify.com/v1/tracks/4sSKTQcX6pQIncWcNJdkiD,https://api.spotify.com/v1/audio-analysis/4sSKTQcX6pQIncWcNJdkiD,300000,4
Fukumean,Gunna,4rXLjWdF2ZZpXCVTfWcshS,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,audio_features,4rXLjWdF2ZZpXCVTfWcshS,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/tracks/4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/audio-analysis/4rXLjWdF2ZZpXCVTfWcshS,125040,4
Calm Down,Rema & Selena Gomez,0WtM2NBVQNNJLh6scP13H8,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,audio_features,0WtM2NBVQNNJLh6scP13H8,spotify:track:0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/tracks/0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/audio-analysis/0WtM2NBVQNNJLh6scP13H8,239318,4
Dance The Night,Dua Lipa,1vYXt7VSjH9JIM5oRRo7vA,0.671,0.845,11,-4.93,0,0.048,0.0207,0.0,0.329,0.775,110.056,audio_features,1vYXt7VSjH9JIM5oRRo7vA,spotify:track:1vYXt7VSjH9JIM5oRRo7vA,https://api.spotify.com/v1/tracks/1vYXt7VSjH9JIM5oRRo7vA,https://api.spotify.com/v1/audio-analysis/1vYXt7VSjH9JIM5oRRo7vA,176579,4
Barbie World,Nicki Minaj & Ice Spice With Aqua,741UUVE2kuITl0c6zuqqbO,0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,audio_features,741UUVE2kuITl0c6zuqqbO,spotify:track:741UUVE2kuITl0c6zuqqbO,https://api.spotify.com/v1/tracks/741UUVE2kuITl0c6zuqqbO,https://api.spotify.com/v1/audio-analysis/741UUVE2kuITl0c6zuqqbO,109750,4
Slime You Out,Drake Featuring SZA,0AYt6NMyyLd0rLuvr0UkMH,0.483,0.408,5,-9.243,0,0.0502,0.508,0.0,0.259,0.105,88.88,audio_features,0AYt6NMyyLd0rLuvr0UkMH,spotify:track:0AYt6NMyyLd0rLuvr0UkMH,https://api.spotify.com/v1/tracks/0AYt6NMyyLd0rLuvr0UkMH,https://api.spotify.com/v1/audio-analysis/0AYt6NMyyLd0rLuvr0UkMH,310491,3
Religiously,Bailey Zimmerman,0bILU0UiNDmA5Ff6whhb2R,0.57,0.67,1,-6.519,1,0.0274,0.426,0.0,0.108,0.593,140.924,audio_features,0bILU0UiNDmA5Ff6whhb2R,spotify:track:0bILU0UiNDmA5Ff6whhb2R,https://api.spotify.com/v1/tracks/0bILU0UiNDmA5Ff6whhb2R,https://api.spotify.com/v1/audio-analysis/0bILU0UiNDmA5Ff6whhb2R,178723,4
Sarah's Place,Zach Bryan Featuring Noah Kahan,1vhbThkFnqAHbZp0fEjXE4,0.576,0.683,7,-5.103,1,0.118,0.41,0.0,0.0819,0.433,151.566,audio_features,1vhbThkFnqAHbZp0fEjXE4,spotify:track:1vhbThkFnqAHbZp0fEjXE4,https://api.spotify.com/v1/tracks/1vhbThkFnqAHbZp0fEjXE4,https://api.spotify.com/v1/audio-analysis/1vhbThkFnqAHbZp0fEjXE4,214056,4
Flowers,Miley Cyrus,1ZJwhLQLt2quexYKP2Q3gk,0.672,0.159,9,-8.76,0,0.0343,0.962,1.83e-05,0.106,0.117,113.218,audio_features,1ZJwhLQLt2quexYKP2Q3gk,spotify:track:1ZJwhLQLt2quexYKP2Q3gk,https://api.spotify.com/v1/tracks/1ZJwhLQLt2quexYKP2Q3gk,https://api.spotify.com/v1/audio-analysis/1ZJwhLQLt2quexYKP2Q3gk,210827,4
Bad Idea Right?,Olivia Rodrigo,3IX0yuEVvDbnqUwMBB3ouC,0.627,0.879,9,-3.446,1,0.0955,0.00193,6.87e-06,0.0647,0.748,129.979,audio_features,3IX0yuEVvDbnqUwMBB3ouC,spotify:track:3IX0yuEVvDbnqUwMBB3ouC,https://api.spotify.com/v1/tracks/3IX0yuEVvDbnqUwMBB3ouC,https://api.spotify.com/v1/audio-analysis/3IX0yuEVvDbnqUwMBB3ouC,184784,4
Thinkin' Bout Me,Morgan Wallen,0PAcdVzhPO4gq1Iym9ESnK,0.656,0.757,3,-5.775,0,0.0308,0.492,0.0,0.117,0.429,139.971,audio_features,0PAcdVzhPO4gq1Iym9ESnK,spotify:track:0PAcdVzhPO4gq1Iym9ESnK,https://api.spotify.com/v1/tracks/0PAcdVzhPO4gq1Iym9ESnK,https://api.spotify.com/v1/audio-analysis/0PAcdVzhPO4gq1Iym9ESnK,177388,4
Agora Hills,Doja Cat,7iwvhvF78ZwYJ4JeMyv8Wq,0.747,0.542,8,-11.608,0,0.0831,0.301,0.0948,0.131,0.404,123.011,audio_features,7iwvhvF78ZwYJ4JeMyv8Wq,spotify:track:7iwvhvF78ZwYJ4JeMyv8Wq,https://api.spotify.com/v1/tracks/7iwvhvF78ZwYJ4JeMyv8Wq,https://api.spotify.com/v1/audio-analysis/7iwvhvF78ZwYJ4JeMyv8Wq,265872,4
All My Life,Lil Durk Featuring J. Cole,6HgWWaMu31KdOpEG5l28BG,0.829,0.436,3,-8.205,1,0.327,0.15,0.0,0.0954,0.693,143.031,audio_features,6HgWWaMu31KdOpEG5l28BG,spotify:track:6HgWWaMu31KdOpEG5l28BG,https://api.spotify.com/v1/tracks/6HgWWaMu31KdOpEG5l28BG,https://api.spotify.com/v1/audio-analysis/6HgWWaMu31KdOpEG5l28BG,223204,4
Need A Favor,Jelly Roll,5twSy6ffBrF03mnNUsUgJZ,0.504,0.771,6,-4.231,1,0.0319,0.0123,1.89e-05,0.078,0.555,157.985,audio_features,5twSy6ffBrF03mnNUsUgJZ,spotify:track:5twSy6ffBrF03mnNUsUgJZ,https://api.spotify.com/v1/tracks/5twSy6ffBrF03mnNUsUgJZ,https://api.spotify.com/v1/audio-analysis/5twSy6ffBrF03mnNUsUgJZ,197400,4
Anti-Hero,Taylor Swift,0V3wPSX9ygBnCm8psDIegu,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,audio_features,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/tracks/0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/audio-analysis/0V3wPSX9ygBnCm8psDIegu,200690,4
Used To Be Young,Miley Cyrus,0Nfh4u0J4bajcyp5pzaWCx,0.451,0.632,4,-3.843,1,0.0475,0.6,0.0,0.139,0.455,147.06,audio_features,0Nfh4u0J4bajcyp5pzaWCx,spotify:track:0Nfh4u0J4bajcyp5pzaWCx,https://api.spotify.com/v1/tracks/0Nfh4u0J4bajcyp5pzaWCx,https://api.spotify.com/v1/audio-analysis/0Nfh4u0J4bajcyp5pzaWCx,190461,4
Rich Men North Of Richmond,Oliver Anthony Music,78Du4CMFgnhdlG33gblkiP,0.678,0.264,10,-12.384,1,0.0622,0.753,0.0,0.302,0.528,121.722,audio_features,78Du4CMFgnhdlG33gblkiP,spotify:track:78Du4CMFgnhdlG33gblkiP,https://api.spotify.com/v1/tracks/78Du4CMFgnhdlG33gblkiP,https://api.spotify.com/v1/audio-analysis/78Du4CMFgnhdlG33gblkiP,187244,4
Greedy,Tate McRae,3RhyHYnYxuGnP8njFlNxHq,0.707,0.483,1,-7.365,1,0.059,0.106,3.54e-06,0.0356,0.386,87.999,audio_features,3RhyHYnYxuGnP8njFlNxHq,spotify:track:3RhyHYnYxuGnP8njFlNxHq,https://api.spotify.com/v1/tracks/3RhyHYnYxuGnP8njFlNxHq,https://api.spotify.com/v1/audio-analysis/3RhyHYnYxuGnP8njFlNxHq,152787,4
Kill Bill,SZA,1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,audio_features,1Qrg8KqiBpW07V7PNxwwwL,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947,4
Boys Of Faith,Zach Bryan Featuring Bon Iver,6pRRHgDjfIGhTUCGlHX2p8,0.302,0.584,1,-6.242,1,0.063,0.385,5.22e-05,0.089,0.159,199.804,audio_features,6pRRHgDjfIGhTUCGlHX2p8,spotify:track:6pRRHgDjfIGhTUCGlHX2p8,https://api.spotify.com/v1/tracks/6pRRHgDjfIGhTUCGlHX2p8,https://api.spotify.com/v1/audio-analysis/6pRRHgDjfIGhTUCGlHX2p8,170825,4
Dial Drunk,Noah Kahan With Post Malone,22VHOlVYBqytsrAqV8yXBK,0.667,0.613,8,-7.147,1,0.0313,0.121,0.0,0.113,0.681,112.046,audio_features,22VHOlVYBqytsrAqV8yXBK,spotify:track:22VHOlVYBqytsrAqV8yXBK,https://api.spotify.com/v1/tracks/22VHOlVYBqytsrAqV8yXBK,https://api.spotify.com/v1/audio-analysis/22VHOlVYBqytsrAqV8yXBK,213817,4
What Was I Made For?,Billie Eilish,6wf7Yu7cxBSPrRlWeSeK0Q,0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,audio_features,6wf7Yu7cxBSPrRlWeSeK0Q,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,https://api.spotify.com/v1/tracks/6wf7Yu7cxBSPrRlWeSeK0Q,https://api.spotify.com/v1/audio-analysis/6wf7Yu7cxBSPrRlWeSeK0Q,222370,4
Watermelon Moonshine,Lainey Wilson,38u8rrHfOAcOE7IbArM39x,0.739,0.413,1,-6.709,1,0.0282,0.47,2.51e-05,0.131,0.649,139.921,audio_features,38u8rrHfOAcOE7IbArM39x,spotify:track:38u8rrHfOAcOE7IbArM39x,https://api.spotify.com/v1/tracks/38u8rrHfOAcOE7IbArM39x,https://api.spotify.com/v1/audio-analysis/38u8rrHfOAcOE7IbArM39x,208853,4
Creepin',"Metro Boomin, The Weeknd & 21 Savage",2dHHgzDwk4BJdRwy9uXhTO,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,97.95,audio_features,2dHHgzDwk4BJdRwy9uXhTO,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/tracks/2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/audio-analysis/2dHHgzDwk4BJdRwy9uXhTO,221520,4
Karma,Taylor Swift Featuring Ice Spice,0ZxhtATQ0a6EvQNZ0z6NKV,0.898,0.676,9,-5.196,1,0.187,0.14,0.0,0.101,0.742,147.991,audio_features,0ZxhtATQ0a6EvQNZ0z6NKV,spotify:track:0ZxhtATQ0a6EvQNZ0z6NKV,https://api.spotify.com/v1/tracks/0ZxhtATQ0a6EvQNZ0z6NKV,https://api.spotify.com/v1/audio-analysis/0ZxhtATQ0a6EvQNZ0z6NKV,172125,4
What It Is (Block Boy),Doechii Featuring Kodak Black,1O8zCu3dLLPxkbGfIsbRgE,0.731,0.744,1,-5.77,0,0.174,0.109,0.0,0.123,0.727,171.859,audio_features,1O8zCu3dLLPxkbGfIsbRgE,spotify:track:1O8zCu3dLLPxkbGfIsbRgE,https://api.spotify.com/v1/tracks/1O8zCu3dLLPxkbGfIsbRgE,https://api.spotify.com/v1/audio-analysis/1O8zCu3dLLPxkbGfIsbRgE,223344,4
Great Gatsby,Rod Wave,4M68xjcc42oxyphhzpOWXS,0.67,0.555,1,-9.12,0,0.0908,0.0382,6.36e-06,0.414,0.16,156.937,audio_features,4M68xjcc42oxyphhzpOWXS,spotify:track:4M68xjcc42oxyphhzpOWXS,https://api.spotify.com/v1/tracks/4M68xjcc42oxyphhzpOWXS,https://api.spotify.com/v1/audio-analysis/4M68xjcc42oxyphhzpOWXS,146808,4
Get Him Back!,Olivia Rodrigo,3dKYak9dKL8YeHx5jMokoP,0.527,0.252,7,-8.024,1,0.0362,0.839,0.0,0.1,0.157,82.069,audio_features,3dKYak9dKL8YeHx5jMokoP,spotify:track:3dKYak9dKL8YeHx5jMokoP,https://api.spotify.com/v1/tracks/3dKYak9dKL8YeHx5jMokoP,https://api.spotify.com/v1/audio-analysis/3dKYak9dKL8YeHx5jMokoP,231907,4
I Know ?,Travis Scott,6wsqVwoiVH2kde4k4KKAFU,0.927,0.619,5,-4.441,0,0.0539,0.0186,0.0,0.104,0.817,117.995,audio_features,6wsqVwoiVH2kde4k4KKAFU,spotify:track:6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/tracks/6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/audio-analysis/6wsqVwoiVH2kde4k4KKAFU,211582,4
Good Good,"Usher, Summer Walker & 21 Savage",0J1YRLYhTG1MBosjidD7OI,0.753,0.669,7,-4.914,0,0.104,0.0378,0.0,0.122,0.584,140.948,audio_features,0J1YRLYhTG1MBosjidD7OI,spotify:track:0J1YRLYhTG1MBosjidD7OI,https://api.spotify.com/v1/tracks/0J1YRLYhTG1MBosjidD7OI,https://api.spotify.com/v1/audio-analysis/0J1YRLYhTG1MBosjidD7OI,247469,4
Daylight,David Kushner,1odExI7RdWc4BT515LTAwj,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,audio_features,1odExI7RdWc4BT515LTAwj,spotify:track:1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/tracks/1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/audio-analysis/1odExI7RdWc4BT515LTAwj,212954,4
Peaches & Eggplants,Young Nudy Featuring 21 Savage,2KcQ0PbPj0O3P48B9YX7iN,0.911,0.536,4,-7.884,0,0.282,0.00897,3.73e-06,0.111,0.584,146.014,audio_features,2KcQ0PbPj0O3P48B9YX7iN,spotify:track:2KcQ0PbPj0O3P48B9YX7iN,https://api.spotify.com/v1/tracks/2KcQ0PbPj0O3P48B9YX7iN,https://api.spotify.com/v1/audio-analysis/2KcQ0PbPj0O3P48B9YX7iN,203813,4
Try That In A Small Town,Jason Aldean,4ROknQyR1wOGPfmpTtB3z4,0.459,0.861,0,-3.762,0,0.0529,0.0474,5.38e-06,0.107,0.333,145.842,audio_features,4ROknQyR1wOGPfmpTtB3z4,spotify:track:4ROknQyR1wOGPfmpTtB3z4,https://api.spotify.com/v1/tracks/4ROknQyR1wOGPfmpTtB3z4,https://api.spotify.com/v1/audio-analysis/4ROknQyR1wOGPfmpTtB3z4,180034,4
Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",7mXuWTczZNxG5EDcjFEuJR,0.646,0.736,5,-7.118,0,0.0449,0.216,0.0,0.415,0.873,140.098,audio_features,7mXuWTczZNxG5EDcjFEuJR,spotify:track:7mXuWTczZNxG5EDcjFEuJR,https://api.spotify.com/v1/tracks/7mXuWTczZNxG5EDcjFEuJR,https://api.spotify.com/v1/audio-analysis/7mXuWTczZNxG5EDcjFEuJR,212878,3
Qlona,Karol G & Peso Pluma,5gUysq7aO7v7EcV5kQWgeh,0.843,0.741,7,-7.486,0,0.293,0.541,1.88e-06,0.0879,0.45,169.933,audio_features,5gUysq7aO7v7EcV5kQWgeh,spotify:track:5gUysq7aO7v7EcV5kQWgeh,https://api.spotify.com/v1/tracks/5gUysq7aO7v7EcV5kQWgeh,https://api.spotify.com/v1/audio-analysis/5gUysq7aO7v7EcV5kQWgeh,172798,4
Meltdown,Travis Scott Featuring Drake,6w3hTgFYPaUo6WFz2tEOtX,0.453,0.987,11,-3.012,0,0.251,0.000164,0.0,0.0776,0.206,154.08,audio_features,6w3hTgFYPaUo6WFz2tEOtX,spotify:track:6w3hTgFYPaUo6WFz2tEOtX,https://api.spotify.com/v1/tracks/6w3hTgFYPaUo6WFz2tEOtX,https://api.spotify.com/v1/audio-analysis/6w3hTgFYPaUo6WFz2tEOtX,268919,4
Love You Anyway,Luke Combs,2kYevr8cbIAH2ha8210Bnz,0.532,0.489,4,-7.419,1,0.0311,0.149,0.0,0.237,0.32,139.807,audio_features,2kYevr8cbIAH2ha8210Bnz,spotify:track:2kYevr8cbIAH2ha8210Bnz,https://api.spotify.com/v1/tracks/2kYevr8cbIAH2ha8210Bnz,https://api.spotify.com/v1/audio-analysis/2kYevr8cbIAH2ha8210Bnz,229627,4
Bongos,Cardi B & Megan Thee Stallion,5qivHfDEvKu8td9TFC2cqt,0.475,0.574,7,-7.512,1,0.218,0.000791,0.81,0.067,0.194,158.689,audio_features,5qivHfDEvKu8td9TFC2cqt,spotify:track:5qivHfDEvKu8td9TFC2cqt,https://api.spotify.com/v1/tracks/5qivHfDEvKu8td9TFC2cqt,https://api.spotify.com/v1/audio-analysis/5qivHfDEvKu8td9TFC2cqt,175099,5
Deep Satin,Zach Bryan,1u2Fe70Qm9VFCIMPWFlfc1,0.509,0.697,9,-4.425,0,0.0304,0.12,0.0,0.134,0.37,75.216,audio_features,1u2Fe70Qm9VFCIMPWFlfc1,spotify:track:1u2Fe70Qm9VFCIMPWFlfc1,https://api.spotify.com/v1/tracks/1u2Fe70Qm9VFCIMPWFlfc1,https://api.spotify.com/v1/audio-analysis/1u2Fe70Qm9VFCIMPWFlfc1,211194,4
Boyz Don't Cry,Rod Wave,2z2gqgwu1GCurpZJYzcytE,0.741,0.509,10,-12.639,1,0.0532,0.0761,2.9e-06,0.114,0.345,152.078,audio_features,2z2gqgwu1GCurpZJYzcytE,spotify:track:2z2gqgwu1GCurpZJYzcytE,https://api.spotify.com/v1/tracks/2z2gqgwu1GCurpZJYzcytE,https://api.spotify.com/v1/audio-analysis/2z2gqgwu1GCurpZJYzcytE,202224,4
Save Me,Jelly Roll With Lainey Wilson,4Bee3PcNdfeqO1B80dDgFn,0.564,0.612,0,-5.018,1,0.0248,0.382,0.0,0.11,0.146,83.03,audio_features,4Bee3PcNdfeqO1B80dDgFn,spotify:track:4Bee3PcNdfeqO1B80dDgFn,https://api.spotify.com/v1/tracks/4Bee3PcNdfeqO1B80dDgFn,https://api.spotify.com/v1/audio-analysis/4Bee3PcNdfeqO1B80dDgFn,237493,3
